representative	member
P57772	P57772
P61201	P61201
P61457	P61457
P61457	Q9H0N5
P61758	P61758
P78347	P78347
P98177	P98177
P98177	Q12778
Q00597	Q00597
Q03060	Q03060
Q08050	Q08050
Q13516	Q13516
Q14151	Q14151
Q15025	Q15025
Q15365	Q15365
Q15365	Q15366
Q15475	Q15475
Q16520	Q16520
Q53F19	Q53F19
Q5H9I0	Q5H9I0
Q5H9I0	Q14186
Q5JPI9	Q5JPI9
Q5VY09	Q5VY09
Q6GQQ9	Q6GQQ9
Q6GQQ9	Q8TE49
Q6P1R4	Q6P1R4
Q6ZSB9	Q6ZSB9
Q7LG56	Q7LG56
Q7LG56	P31350
Q7Z5H3	Q7Z5H3
Q7Z7C8	Q7Z7C8
Q86WP2	Q86WP2
Q86X51	Q86X51
Q86XA0	Q86XA0
Q86XN8	Q86XN8
Q86XN8	Q5U5Q3
Q8IV63	Q8IV63
Q8IXW5	Q8IXW5
Q8N543	Q8N543
Q8NCF5	Q8NCF5
Q8WYA6	Q8WYA6
Q92551	Q92551
Q92782	Q92782
Q92782	Q92785
Q969Q6	Q969Q6
Q969T9	Q969T9
Q96BT7	Q96BT7
Q96E09	Q96E09
Q96EL1	Q96EL1
Q96F44	Q96F44
Q96F44	Q12899
Q96F44	Q8WV44
Q96F44	Q9C035
Q96F44	Q9UPQ4
Q96F44	Q9C029
Q96I76	Q96I76
Q96JY0	Q96JY0
Q96JZ2	Q96JZ2
Q96Q83	Q96Q83
Q99627	Q99627
Q99741	Q99741
Q9BPY8	Q9BPY8
Q9BTD8	Q9BTD8
Q9BV68	Q9BV68
Q9BWV3	Q9BWV3
Q9BX46	Q9BX46
Q9BZC1	Q9BZC1
Q9BZC1	Q8N6W0
Q9BZC1	Q96J87
Q9BZC1	Q5SZQ8
Q9BZC1	Q92879
Q9BZC1	O95319
Q9GZR7	Q9GZR7
Q9H008	Q9H008
Q9H171	Q9H171
Q9H2F5	Q9H2F5
Q9H3M7	Q9H3M7
Q9H467	Q9H467
Q9H6Z9	Q9H6Z9
Q9H6Z9	Q9GZT9
Q9H8E8	Q9H8E8
Q9H8X2	Q9H8X2
Q9H9Q2	Q9H9Q2
Q9H9Q2	Q9UBW8
Q9NP77	Q9NP77
Q9NQU5	Q9NQU5
Q9NQU5	Q9P286
Q9NW64	Q9NW64
Q9NYL2	Q9NYL2
Q9NZU5	Q9NZU5
Q9P0U3	Q9P0U3
Q9UBQ5	Q9UBQ5
B0B815	B0B815
P37735	P37735
P81040	P81040
P94127	P94127
P94127	Q51705
Q05884	Q05884
Q06529	Q06529
Q06988	Q06988
Q55025	Q55025
Q588Z2	Q588Z2
Q59544	Q59544
Q59544	Q540U1
Q59544	P0AE22
Q99003	Q99003
Q9X9Z2	Q9X9Z2
Q9X9Z2	Q9KYG7
Q9X9Z2	Q9AD92
Q9X9Z2	Q9KYH3
Q9X9Z2	Q9L1J9
P0ABE7	P0ABE7
P12374	P12374
P12993	P12993
P12993	P0A0L2
P12993	P01553
P12993	P34071
P12993	P01552
P13720	P13720
P22222	P22222
P38540	P38540
P43478	P43478
P50401	P50401
P81594	P81594
Q01269	Q01269
Q07792	Q07792
Q07792	P0ADA1
Q2FZL3	Q2FZL3
Q46971	Q46971
Q46971	Q9Z4N4
Q59289	Q59289
Q69GM4	Q69GM4
Q69GM4	Q3ZAB8
Q8KIL1	Q8KIL1
Q8KIL1	P15877
Q99PX1	Q99PX1
Q9F1L5	Q9F1L5
Q9F437	Q9F437
Q9S3R8	Q9S3R8
Q9S3R8	Q9S3R9
Q9XDP2	Q9XDP2
A0A291P0C1	A0A291P0C1
B7J3C9	B7J3C9
K4PZA7	K4PZA7
P07603	P07603
P0DXF3	P0DXF3
P0DXF6	P0DXF6
P15279	P15279
P15279	P12293
P15279	P16027
P15279	C5B120
P15279	Q8GR64
P15279	P18278
P15279	O05542
P15279	Q9AF95
P15279	Q46444
P15279	Q4W6G0
P15279	Q9Z4J7
P15698	P15698
P22751	P22751
P37699	P37699
P49250	P49250
P49250	P46883
P49250	P80695
P50500	P50500
P82593	P82593
Q02834	Q02834
Q02834	Q99519
Q05JY7	Q05JY7
Q05JY7	Q0JRK4
Q06530	Q06530
Q07982	Q07982
Q9I2C5	Q9I2C5
A0A160PB22	A0A160PB22
A5F7A4	A5F7A4
O34214	O34214
O85465	O85465
O85465	P10475
O85465	P27035
O85465	P22541
P00149	P00149
P00149	P00148
P00149	P00150
P00149	P00154
P9WQK7	P9WQK7
P9WQK7	P0A698
Q1QYW1	Q1QYW1
Q2FDS6	Q2FDS6
Q31Q05	Q31Q05
Q3KSV5	Q3KSV5
Q3KSV5	P29495
Q3KSV5	G4STG9
Q49422	Q49422
Q49422	P39792
Q59128	Q59128
Q7A649	Q7A649
Q7A649	Q8NX62
Q7A649	Q7A827
Q81WK7	Q81WK7
Q81WK7	P39779
Q8KY51	Q8KY51
Q8PDX2	Q8PDX2
Q93K96	Q93K96
Q93NH4	Q93NH4
Q9AGJ6	Q9AGJ6
Q9HTK9	Q9HTK9
Q9HUF7	Q9HUF7
Q9HWF9	Q9HWF9
Q9HWF9	P9WPQ9
Q9HWF9	Q9HY79
Q9I6V6	Q9I6V6
Q9WYC5	Q9WYC5
Q9WYC5	P70826
Q9WYC5	O83553
Q9X2A4	Q9X2A4
Q9X2A4	P0A6C8
Q9X2A4	O50147
A0QUE0	A0QUE0
A0QUE0	B1MDE5
B1MH83	B1MH83
B1MH83	P9WGK1
B1MH83	P9WGK3
E0X9C7	E0X9C7
G3KIM8	G3KIM8
I0AIT9	I0AIT9
O52063	O52063
O53830	O53830
O53830	Q05943
O67082	O67082
P07800	P07800
P07800	P0A9H9
P0A6B9	P0A6B9
P0A6B9	P0A6B7
P0A6B9	P77444
P0DJQ5	P0DJQ5
P0DJQ5	Q9Z4S1
P0DY11	P0DY11
P21310	P21310
P21310	Q3M5Z3
P21310	B2J528
P24559	P24559
P24559	G3XCX3
P40873	P40873
P40873	P40859
P45131	P45131
P45131	D2Z028
P54226	P54226
P54226	E3VWI2
P54226	P9WN83
P54226	P0A9B6
P54226	P17721
P54226	P75358
P54226	P80506
P54226	P0A9B2
P54226	O34425
P54226	P0A038
P54226	Q6GIL8
P54226	P00362
P54226	P09124
P54226	P80505
P54292	P54292
P63411	P63411
P63411	P0A6A3
P75430	P75430
P80046	P80046
P9WGI9	P9WGI9
P9WGI9	P0A825
P9WGI9	P9WGI7
P9WGI9	D3DKC4
P9WGI9	P34896
P9WGL5	P9WGL5
P9WGV3	P9WGV3
P9WHJ3	P9WHJ3
P9WHN7	P9WHN7
P9WHN7	P0A7D1
P9WP49	P9WP49
P9WQ55	P9WQ55
Q9NXH9	Q9NXH9
P51617	P51617
Q96CA5	Q96CA5
Q9UNS2	Q9UNS2
O15117	O15117
Q14974	Q14974
Q7Z624	Q7Z624
Q9UM07	Q9UM07
Q9Y5L0	Q9Y5L0
A0A2R8Y7D0	A0A2R8Y7D0
P62633	P62633
Q8WUX9	Q8WUX9
Q9BV20	Q9BV20
P16333	P16333
P39687	P39687
P39687	Q9BTT0
P39687	Q92688
Q9BV47	Q9BV47
Q9BV47	Q68J44
Q9BV47	Q8WUJ0
Q9NUQ7	Q9NUQ7
O15297	O15297
O60678	O60678
O60678	Q86X55
O60921	O60921
O75618	O75618
O94762	O94762
P11441	P11441
P14678	P14678
P15880	P15880
P22674	P22674
P31948	P31948
P39019	P39019
P39023	P39023
P46783	P46783
P55263	P55263
P61247	P61247
P62277	P62277
P62280	P62280
P62304	P62304
P62314	P62314
Q13601	Q13601
Q14978	Q14978
Q15024	Q15024
Q15646	Q15646
Q496M5	Q496M5
Q69383	Q69383
Q8IXP5	Q8IXP5
Q8N488	Q8N488
Q8N4J0	Q8N4J0
Q8WUQ7	Q8WUQ7
Q93088	Q93088
Q96B26	Q96B26
Q96FQ6	Q96FQ6
Q96PK6	Q96PK6
Q99615	Q99615
Q9BVJ7	Q9BVJ7
Q9C0C6	Q9C0C6
Q9NVP2	Q9NVP2
Q9UKD2	Q9UKD2
Q9Y3C4	Q9Y3C4
A6NNY8	A6NNY8
A6NNY8	Q9UPT9
A6NNY8	Q9Y6I4
A6NNY8	Q9UK80
A6NNY8	Q6QN14
O00231	O00231
O15516	O15516
O95801	O95801
P25398	P25398
P42677	P42677
P52945	P52945
P52945	Q8N693
P62249	P62249
