accession	max_identity_to_train
Q46821	0.281
Q9N2D4	0.865
Q86UB2	0.0
P50921	0.654
Q8E8S0	0.336
P0AFF0	0.264
P0DY66	0.367
P64461	0.0
P84022	0.839
P68739	0.441
P01174	0.353
Q9P1Z2	0.0
Q00954	0.0
P0AD68	0.26
Q5I0E7	0.301
Q9UMR2	0.686
Q8RS40	0.0
P17792	0.0
Q96T53	0.262
P23083	0.794
Q09068	0.0
Q02115	0.0
P54582	0.289
Q96BT7	0.0
P0DJD9	0.992
P18326	0.381
P0A6Y5	0.0
Q6UW56	0.0
P0ABZ6	0.0
P72849	0.0
P01242	0.93
P9WGI9	0.684
P00946	0.0
P0AA16	0.408
P0AF32	0.721
Q99467	0.314
Q59128	0.0
Q9NQG6	0.0
Q9P055	0.0
P10424	0.459
P15261	0.0
P94531	0.721
Q9UBF1	0.472
Q06K53	0.498
Q8TF42	0.437
P05648	0.44
P9WGM1	0.438
Q9Y5Z9	0.0
B3EWG0	0.0
P26876	0.407
Q8C1Q4	0.0
P84527	0.957
Q9P0V8	0.234
Q14493	0.0
P76445	0.0
Q16520	0.0
P33650	0.237
Q9UMX3	0.0
P04276	0.0
L8BRS3	0.425
P0DUB8	0.793
P01831	0.827
P37552	0.5
Q9GZX7	0.452
P46527	0.428
P69425	0.0
P01299	0.45
F0T4D1	0.292
P69739	0.721
A4QD57	0.311
Q6T6C2	0.0
O43155	0.304
Q9HTK9	0.231
Q14653	0.373
Q9L1L8	0.578
Q61508	0.0
P08904	0.727
P02814	0.666
P22146	0.0
P0A6Q3	0.286
Q29422	0.319
P80604	0.245
P41134	0.457
P18892	0.57
Q9Z4I3	0.0
P01268	0.852
O54308	0.434
O06724	0.0
P0A6E4	0.0
Q49AN0	0.81
Q8J0K5	0.617
Q9UHV9	0.0
Q8L172	0.983
Q820A8	0.422
P0AEU7	0.906
Q7ZZN8	0.388
P02921	0.0
P01572	0.617
P35149	0.483
Q8N6M6	0.432
P71020	0.0
P94443	0.0
Q6RUF5	0.0
Q76CE8	0.823
O14925	0.0
P37330	0.577
A8K830	0.0
P0AG24	0.0
