accession	cluster_30	cluster_50	cluster_70	cluster_90
O14732	O14732	O14732	O14732	O14732
P34949	P34949	P34949	P34949	P34949
Q9UBP9	Q9UBP9	Q9UBP9	Q9UBP9	Q9UBP9
P14136	P14136	P14136	P14136	P14136
P52565	P52565	P52565	P52565	P52565
P19012	P14136	Q7Z3Z0	P19012	P19012
Q8N1E6	Q8N1E6	Q8N1E6	Q8N1E6	Q8N1E6
P61254	P61254	P61254	P61254	P61254
P57721	P57721	P57721	P57721	P57721
P15153	P10301	P15153	P15153	P15153
Q8WXB1	Q8WXB1	Q8WXB1	Q8WXB1	Q8WXB1
P08729	P14136	P08729	P08729	P08729
Q9BTE6	Q9BTE6	Q9BTE6	Q9BTE6	Q9BTE6
O43583	O43583	O43583	O43583	O43583
O14717	O14717	O14717	O14717	O14717
Q5BKX5	Q5BKX5	Q5BKX5	Q5BKX5	Q5BKX5
P07741	P07741	P07741	P07741	P07741
Q96D03	Q96D03	Q96D03	Q96D03	Q96D03
P42772	P42772	P42772	P42772	P42772
Q9BUP3	Q9BUP3	Q9BUP3	Q9BUP3	Q9BUP3
Q6GMV2	Q6GMV2	Q6GMV2	Q6GMV2	Q6GMV2
P15428	P15428	P15428	P15428	P15428
P62829	P62829	P62829	P62829	P62829
O95372	O95372	O95372	O95372	O95372
P46779	P46779	P46779	P46779	P46779
Q969G6	Q969G6	Q969G6	Q969G6	Q969G6
Q96IZ6	Q9H825	Q96IZ6	Q96IZ6	Q96IZ6
O00273	O00273	O00273	O00273	O00273
P13929	P13929	P13929	P13929	P13929
P08263	P08263	P08263	P08263	P08263
Q9H074	Q9H074	Q9H074	Q9H074	Q9H074
Q9UHJ6	Q9UHJ6	Q9UHJ6	Q9UHJ6	Q9UHJ6
P78358	P78358	P78358	P78358	P78358
P02689	P02689	P02689	P02689	P02689
Q8TDQ7	Q8TDQ7	Q8TDQ7	Q8TDQ7	Q8TDQ7
A8MTJ3	A8MTJ3	A8MTJ3	A8MTJ3	A8MTJ3
Q9NRW4	Q9NRW4	Q9NRW4	Q9NRW4	Q9NRW4
Q9H9V9	Q9H9V9	Q9H9V9	Q9H9V9	Q9H9V9
Q03013	Q03013	Q03013	Q03013	Q03013
